Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
Andy Abad,30,BOS,AL,9,19,17,1,2,0,0,0,0,0,1,2,5,0.11800000000000001,0.21100000000000002,0.11800000000000001,0.32799999999999996,2,1,0,0,0,0
Brent Abernathy,25,KCR,AL,10,30,27,2,2,0,0,0,0,0,0,1,3,0.07400000000000001,0.107,0.07400000000000001,0.18100000000000002,2,2,0,2,0,0
Bobby Abreu,29,PHI,NL,158,695,577,99,173,35,1,20,101,22,9,109,126,0.3,0.409,0.46799999999999997,0.877,270,13,2,0,7,13
Jose Acevedo,25,CIN,NL,5,11,9,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0,1,0,2,0,0
Juan Acevedo,33,NYY,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0
Terry Adams,30,PHI,NL,63,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0
Jeremy Affeldt,24,KCR,AL,3,7,6,0,2,0,0,0,2,0,0,1,1,0.33299999999999996,0.429,0.33299999999999996,0.762,2,0,0,0,0,0
Kurt Ainsworth,24,SFG,NL,12,26,22,0,1,0,0,0,0,0,0,0,7,0.045,0.045,0.045,0.091,1,0,0,4,0,0
Antonio Alfonseca,31,CHC,NL,54,1,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,0,0
Edgardo Alfonzo,29,SFG,NL,142,586,514,56,133,25,2,13,81,5,2,58,41,0.259,0.33399999999999996,0.391,0.726,201,14,4,3,7,4
Chad Allen,28,FLA,NL,12,25,24,2,5,1,1,0,0,0,0,0,5,0.20800000000000002,0.24,0.33299999999999996,0.573,8,1,1,0,0,0
Luke Allen,24,COL,NL,2,2,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0
Armando Almanza,30,FLA,NL,48,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0
Edwin Almonte,26,NYM,NL,12,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0
Erick Almonte,25,NYY,AL,31,111,100,17,26,6,0,1,11,1,0,8,24,0.26,0.321,0.35,0.6709999999999999,35,3,1,2,0,0
Hector Almonte,27,MON,NL,28,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0
Roberto Alomar,35,CHW,AL,67,296,253,42,64,11,1,3,17,6,2,30,37,0.253,0.33,0.34,0.67,86,9,1,8,4,1
Sandy Alomar,37,CHW,AL,75,204,194,22,52,12,0,5,26,0,0,4,17,0.268,0.281,0.40700000000000003,0.6890000000000001,79,4,0,5,1,0
Moises Alou,36,CHC,NL,151,638,565,83,158,35,1,22,91,3,1,63,67,0.28,0.35700000000000004,0.462,0.8190000000000001,261,16,7,0,3,7
Juan Alvarez,29,FLA,NL,9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0
Victor Alvarez,26,LAD,NL,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0
Wilson Alvarez,33,LAD,NL,20,31,29,1,5,0,0,0,0,0,0,1,9,0.172,0.2,0.172,0.37200000000000005,5,2,0,1,0,0
Alfredo Amezaga,25,ANA,AL,37,120,105,15,22,3,2,2,7,2,2,9,23,0.21,0.278,0.33299999999999996,0.612,35,2,1,5,0,0
Brian Anderson,31,CLE,AL,3,2,1,0,0,0,0,0,0,0,0,1,0,0.0,0.5,0.0,0.5,0,0,0,0,0,0
Garret Anderson,31,ANA,AL,159,673,638,80,201,49,4,29,116,6,3,31,83,0.315,0.345,0.541,0.885,345,15,0,0,4,10
Jason Anderson,24,NYM,NL,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0
Jimmy Anderson,27,CIN,NL,8,13,9,1,1,0,0,0,0,0,0,2,4,0.111,0.273,0.111,0.384,1,0,0,2,0,0
Marlon Anderson,29,TBD,AL,145,535,482,59,130,27,3,6,67,19,3,41,60,0.27,0.32799999999999996,0.376,0.703,181,6,3,4,5,5
Kevin Appier,35,ANA,AL,2,5,5,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0,0,0,0,0,0
Tony Armas,25,MON,NL,5,10,10,0,2,0,0,0,0,0,0,0,2,0.2,0.2,0.2,0.4,2,0,0,0,0,0
Andy Ashby,35,LAD,NL,20,17,14,0,0,0,0,0,0,0,0,0,8,0.0,0.0,0.0,0.0,0,0,0,3,0,0
Pedro Astacio,34,NYM,NL,7,14,11,1,1,0,0,0,0,0,0,0,2,0.091,0.091,0.091,0.182,1,0,0,3,0,0
Garrett Atkins,23,COL,NL,25,73,69,6,11,2,0,0,4,0,0,3,14,0.159,0.205,0.188,0.39399999999999996,13,1,1,0,0,0
Rich Aurilia,31,SFG,NL,129,545,505,65,140,26,1,13,58,2,2,36,82,0.27699999999999997,0.325,0.41,0.735,207,18,1,0,3,0
Brad Ausmus,34,HOU,NL,143,509,450,43,103,12,2,4,47,5,3,46,66,0.22899999999999998,0.303,0.29100000000000004,0.594,131,8,4,4,5,1
Jeff Austin,26,CIN,NL,7,10,8,0,1,0,0,0,0,0,0,0,5,0.125,0.125,0.125,0.25,1,0,0,2,0,0
Steve Avery,33,DET,AL,2,1,1,1,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,1,0,0,0,0,0
Luis Ayala,25,MON,NL,62,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
Manny Aybar,31,SFG,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0
Brandon Backe,25,TBD,AL,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0
Mike Bacsik,25,NYM,NL,4,3,3,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0
Carlos Baerga,34,ARI,NL,105,231,207,31,71,13,0,4,39,1,1,18,20,0.34299999999999997,0.396,0.46399999999999997,0.8590000000000001,96,6,2,1,3,1
Danys Báez,25,CLE,AL,5,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
Jeff Bagwell,35,HOU,NL,160,702,605,109,168,28,2,39,100,11,4,88,119,0.278,0.373,0.524,0.897,317,25,6,0,3,3
Paul Bako,31,CHC,NL,70,213,188,19,43,13,3,0,17,0,1,22,47,0.22899999999999998,0.311,0.33,0.6409999999999999,62,2,1,1,1,3
Rocco Baldelli,21,TBD,AL,156,684,637,89,184,32,8,11,78,27,10,30,128,0.289,0.326,0.41600000000000004,0.742,265,10,8,3,6,4
John Bale,29,CIN,NL,10,17,17,0,2,0,0,0,0,0,0,0,8,0.11800000000000001,0.11800000000000001,0.11800000000000001,0.235,2,0,0,0,0,0
Brian Banks,32,FLA,NL,92,180,149,14,35,6,2,4,23,2,1,25,38,0.235,0.348,0.38299999999999995,0.731,57,4,2,2,2,1
Rod Barajas,27,ARI,NL,80,239,220,19,48,15,0,3,28,0,0,14,43,0.218,0.265,0.327,0.5920000000000001,72,6,1,1,3,7
Josh Bard,25,CLE,AL,91,330,303,25,74,13,1,8,36,0,2,22,53,0.244,0.293,0.373,0.6659999999999999,113,9,0,1,3,1
Clint Barmes,24,COL,NL,12,28,25,2,8,2,0,0,2,0,0,0,10,0.32,0.35700000000000004,0.4,0.757,10,0,2,0,1,0
Larry Barnes,28,LAD,NL,30,39,38,2,8,2,0,0,2,0,0,1,9,0.21100000000000002,0.231,0.263,0.494,10,0,0,0,0,0
Michael Barrett,26,MON,NL,70,252,226,33,47,9,2,10,30,0,0,21,37,0.20800000000000002,0.28,0.39799999999999996,0.6779999999999999,90,6,2,2,1,7
Miguel Batista,32,ARI,NL,34,62,57,3,4,1,0,0,0,0,0,1,33,0.07,0.086,0.08800000000000001,0.174,5,2,0,4,0,0
Tony Batista,29,BAL,AL,161,670,631,76,148,20,1,26,99,4,3,28,102,0.235,0.27,0.39299999999999996,0.6629999999999999,248,20,5,0,6,4
Rick Bauer,26,BAL,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0
Danny Bautista,31,ARI,NL,88,314,284,29,78,16,3,4,36,3,2,21,50,0.275,0.33,0.39399999999999996,0.7240000000000001,112,7,4,2,3,2
Jason Bay,24,PIT,NL,27,97,79,13,23,6,1,3,12,3,1,18,28,0.29100000000000004,0.423,0.506,0.929,40,0,0,0,0,0
Rod Beck,34,SDP,NL,33,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0
Josh Beckett,23,FLA,NL,24,52,46,3,7,2,0,0,3,0,0,1,14,0.152,0.17,0.196,0.366,9,1,0,5,0,0
Joe Beimel,26,PIT,NL,67,5,5,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0
Matt Belisle,23,CIN,NL,6,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0
David Bell,30,PHI,NL,85,348,297,32,58,14,0,4,37,0,0,41,40,0.195,0.29600000000000004,0.28300000000000003,0.579,84,7,4,0,6,1
Jay Bell,37,NYM,NL,72,142,116,11,21,1,0,0,3,0,0,22,38,0.18100000000000002,0.319,0.19,0.509,22,4,2,1,1,1
Rob Bell,26,TBD,AL,1,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0
Mark Bellhorn,28,COL,NL,48,134,110,12,26,3,0,0,4,2,3,21,32,0.23600000000000002,0.368,0.264,0.632,29,1,2,1,0,0
Ronnie Belliard,28,COL,NL,116,505,447,73,124,31,2,8,50,7,2,49,71,0.27699999999999997,0.35100000000000003,0.409,0.76,183,7,2,6,1,0
Carlos Beltran,26,KCR,AL,141,602,521,102,160,14,10,26,100,41,4,72,81,0.307,0.389,0.522,0.9109999999999999,272,8,2,0,7,4
Adrian Beltre,24,LAD,NL,158,608,559,50,134,30,2,23,80,2,2,37,103,0.24,0.29,0.424,0.7140000000000001,237,13,5,1,6,4
Marvin Benard,32,SFG,NL,46,77,71,5,14,3,1,0,4,1,0,4,9,0.19699999999999998,0.237,0.268,0.504,19,3,0,1,1,0
Alan Benes,31,CHC,NL,3,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
Armando Benitez,30,NYM,NL,43,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0
Gary Bennett,31,SDP,NL,96,338,307,26,73,15,0,2,42,3,0,24,48,0.23800000000000002,0.29600000000000004,0.306,0.602,94,8,2,3,2,3
Joaquin Benoit,25,TEX,AL,1,2,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
Kris Benson,28,PIT,NL,17,37,30,2,0,0,0,0,0,0,0,1,11,0.0,0.032,0.0,0.032,0,1,0,6,0,0
Dave Berg,32,TOR,AL,61,174,161,26,41,6,1,4,18,0,1,11,34,0.255,0.301,0.379,0.679,61,7,0,1,1,0
Brandon Berger,28,KCR,AL,13,38,32,3,7,0,0,0,3,0,0,5,4,0.21899999999999997,0.324,0.21899999999999997,0.5429999999999999,7,0,0,1,0,0
Lance Berkman,27,HOU,NL,153,658,538,110,155,35,6,25,93,5,3,107,108,0.28800000000000003,0.41200000000000003,0.515,0.927,277,10,9,1,3,13
Adam Bernero,26,COL,NL,31,2,2,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0
Angel Berroa,25,KCR,AL,158,635,567,92,163,28,7,17,73,21,5,29,100,0.287,0.33799999999999997,0.451,0.789,256,13,18,13,8,3
Rafael Betancourt,28,CLE,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0
Rocky Biddle,27,MON,NL,71,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0
Nick Bierbrodt,25,TBD,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0
Larry Bigbie,25,BAL,AL,83,319,287,43,87,15,1,9,31,7,1,29,60,0.303,0.365,0.456,0.821,131,2,0,1,2,3
Craig Biggio,37,HOU,NL,153,717,628,102,166,44,2,15,62,8,4,57,116,0.264,0.35,0.41200000000000003,0.763,259,4,27,3,2,3
Casey Blake,29,CLE,AL,152,621,557,80,143,35,0,17,67,7,9,38,109,0.257,0.312,0.41100000000000003,0.723,229,11,10,8,8,1
Hank Blalock,22,TEX,AL,143,615,567,89,170,33,3,29,90,2,3,44,97,0.3,0.35,0.522,0.872,296,16,1,0,3,1
Henry Blanco,31,ATL,NL,55,166,151,11,30,8,0,1,13,0,0,10,21,0.19899999999999998,0.252,0.272,0.523,41,3,1,3,1,2
Nate Bland,28,HOU,NL,19,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0
Willie Bloomquist,25,SEA,AL,89,220,196,30,49,7,2,1,14,4,1,19,39,0.25,0.317,0.321,0.638,63,6,1,2,2,1
Geoff Blum,30,HOU,NL,123,449,420,51,110,19,0,10,52,0,0,20,50,0.262,0.295,0.379,0.674,159,15,2,2,5,1
Hiram Bocachica,27,DET,AL,6,22,22,1,1,1,0,0,0,0,0,0,7,0.045,0.045,0.091,0.136,2,0,0,0,0,0
Brian Boehringer,34,PIT,NL,60,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0
Jeremy Bonderman,20,DET,AL,1,2,2,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0
Barry Bonds,38,SFG,NL,130,550,390,111,133,22,1,45,90,7,0,148,58,0.341,0.529,0.7490000000000001,1.278,292,7,10,0,2,61
Jung Bong,22,ATL,NL,42,7,5,0,0,0,0,0,0,0,0,1,2,0.0,0.16699999999999998,0.0,0.16699999999999998,0,0,0,1,0,0
Aaron Boone,30,NYY,AL,54,209,189,31,48,13,0,6,31,8,0,11,30,0.254,0.302,0.418,0.72,79,7,3,3,2,0
Bret Boone,34,SEA,AL,159,705,622,111,183,35,5,35,117,16,3,68,125,0.294,0.366,0.535,0.902,333,17,7,1,7,3
Pedro Borbon,35,STL,NL,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0
Joe Borchard,24,CHW,AL,16,57,49,5,9,1,0,1,5,0,1,5,18,0.184,0.24600000000000002,0.265,0.511,13,0,0,0,3,0
Pat Borders,40,SEA,AL,12,15,14,1,2,1,0,0,1,0,0,1,5,0.14300000000000002,0.2,0.214,0.414,3,0,0,0,0,0
Mike Bordick,37,TOR,AL,102,379,343,39,94,18,2,5,54,3,1,33,60,0.27399999999999997,0.34,0.382,0.722,131,8,2,0,1,0
Toby Borland,34,FLA,NL,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0
Joe Borowski,32,CHC,NL,64,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0
Ricky Bottalico,33,ARI,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0
Rob Bowen,22,MIN,AL,7,11,10,0,1,0,0,0,1,0,0,0,4,0.1,0.091,0.1,0.191,1,1,0,0,1,0
Jason Boyd,30,CLE,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0
Chad Bradford,28,OAK,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0
Milton Bradley,25,CLE,AL,101,451,377,61,121,34,2,10,56,17,7,64,73,0.321,0.42100000000000004,0.501,0.9229999999999999,189,10,5,0,5,8
Darren Bragg,33,ATL,NL,104,181,162,21,39,5,1,0,9,2,1,13,38,0.24100000000000002,0.305,0.284,0.589,46,1,2,4,0,1
Russell Branyan,27,CIN,NL,74,205,176,22,38,12,0,9,26,0,0,27,69,0.21600000000000003,0.322,0.43799999999999994,0.759,77,1,1,0,1,0
Dewon Brazelton,23,TBD,AL,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
Troy Brohawn,30,LAD,NL,12,1,1,0,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,1,0,0,0,0,0
Ben Broussard,26,CLE,AL,116,429,386,53,96,21,3,16,55,5,2,32,75,0.249,0.312,0.44299999999999995,0.755,171,6,5,3,3,2
Jim Brower,30,SFG,NL,48,19,17,2,3,0,0,0,1,0,0,0,5,0.17600000000000002,0.222,0.17600000000000002,0.39899999999999997,3,0,1,1,0,0
Adrian Brown,29,BOS,AL,9,16,15,2,3,0,0,0,1,2,0,1,4,0.2,0.25,0.2,0.45,3,0,0,0,0,0
Dee Brown,25,KCR,AL,50,143,132,16,30,7,0,2,14,1,1,8,37,0.22699999999999998,0.28,0.326,0.605,43,0,2,0,1,1
Kevin Brown,38,LAD,NL,30,70,63,4,10,3,0,0,2,0,0,0,28,0.159,0.156,0.20600000000000002,0.363,13,1,0,6,1,0
Eric Bruntlett,25,HOU,NL,31,56,54,3,14,3,0,1,4,0,0,0,10,0.259,0.255,0.37,0.625,20,1,0,1,1,0
Brian Buchanan,29,SDP,NL,115,229,198,29,52,10,2,8,29,6,2,24,51,0.263,0.34600000000000003,0.455,0.8009999999999999,90,8,3,0,3,1
Mark Budzinski,29,CIN,NL,4,7,7,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0,0,0,0,0,0
Mark Buehrle,24,CHW,AL,2,6,6,0,1,0,0,0,1,0,0,0,3,0.16699999999999998,0.16699999999999998,0.16699999999999998,0.33299999999999996,1,0,0,0,0,0
Ryan Bukvich,25,KCR,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0
Kirk Bullinger,33,HOU,NL,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0
Nate Bump,26,FLA,NL,31,1,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,0,0
Dave Burba,36,MIL,NL,16,11,10,0,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0,0.0,0,1,0,1,0,0
Jamie Burke,31,CHW,AL,6,8,8,0,3,0,0,0,2,0,0,0,0,0.375,0.375,0.375,0.75,3,0,0,0,0,0
John Burkett,38,BOS,AL,1,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0
Morgan Burkhart,31,KCR,AL,6,16,15,1,3,0,0,0,1,0,0,1,2,0.2,0.25,0.2,0.45,3,0,0,0,0,0
Ellis Burks,38,CLE,AL,55,228,198,27,52,11,1,6,28,1,1,27,46,0.263,0.36,0.419,0.779,83,4,3,0,0,2
A.J. Burnett,26,FLA,NL,4,9,7,0,1,0,0,0,0,0,0,2,3,0.14300000000000002,0.33299999999999996,0.14300000000000002,0.47600000000000003,1,0,0,0,0,0
Jeromy Burnitz,34,LAD,NL,61,246,230,25,47,4,0,13,32,4,0,14,57,0.204,0.252,0.391,0.643,90,1,1,0,1,3
Pat Burrell,26,PHI,NL,146,599,522,57,109,31,4,21,64,0,0,72,142,0.209,0.309,0.40399999999999997,0.713,211,18,4,0,1,2
Sean Burroughs,22,SDP,NL,146,578,517,62,148,27,6,7,58,7,2,44,75,0.28600000000000003,0.35200000000000004,0.402,0.755,208,13,11,2,4,4
Brent Butler,25,COL,NL,37,99,90,13,19,3,1,1,4,1,0,7,13,0.21100000000000002,0.276,0.3,0.5760000000000001,27,2,1,1,0,2
Mike Bynum,25,SDP,NL,13,11,10,0,3,0,0,0,0,0,0,0,4,0.3,0.3,0.3,0.6,3,0,0,1,0,0
Marlon Byrd,25,PHI,NL,135,553,495,86,150,28,4,7,45,11,1,44,94,0.303,0.366,0.418,0.784,207,8,7,4,3,3
Eric Byrnes,27,OAK,AL,121,461,414,64,109,27,9,12,51,10,2,42,71,0.263,0.33299999999999996,0.45899999999999996,0.792,190,3,2,0,2,4
Jolbert Cabrera,30,LAD,NL,128,380,347,43,98,32,2,6,37,6,4,17,62,0.282,0.332,0.43799999999999994,0.77,152,10,10,3,3,3
Miguel Cabrera,20,FLA,NL,87,346,314,39,84,21,3,12,62,0,2,25,84,0.268,0.325,0.46799999999999997,0.7929999999999999,147,12,2,4,1,3
Orlando Cabrera,28,MON,NL,162,691,626,95,186,47,2,17,80,24,2,52,64,0.297,0.34700000000000003,0.46,0.807,288,18,1,3,9,3
Miguel Cairo,29,STL,NL,92,290,261,41,64,15,2,5,32,4,1,13,30,0.245,0.289,0.375,0.665,98,6,6,3,7,1
Kiko Calero,28,STL,NL,23,4,4,1,1,0,0,0,1,0,0,0,0,0.25,0.25,0.25,0.5,1,0,0,0,0,0
Mickey Callaway,28,ANA,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0
Ron Calloway,26,MON,NL,126,369,340,36,81,17,1,9,52,9,2,20,80,0.23800000000000002,0.282,0.374,0.6559999999999999,127,13,2,4,3,1
Mike Cameron,30,SEA,AL,147,612,534,74,135,31,5,18,76,17,7,70,137,0.253,0.344,0.431,0.774,230,13,5,1,2,1
Chris Capuano,24,ARI,NL,9,8,8,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0,0,0,0,0,0
Giovanni Carrara,35,SEA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0
D.J. Carrasco,26,KCR,AL,3,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,1,0,0,0,0
Jamey Carroll,29,MON,NL,105,260,227,31,59,10,1,1,10,5,2,19,39,0.26,0.32299999999999995,0.326,0.649,74,10,3,9,2,0
Lance Carter,28,TBD,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0
Sean Casey,28,CIN,NL,147,629,573,71,167,19,3,14,80,4,0,51,58,0.29100000000000004,0.35,0.408,0.758,234,19,2,0,3,4
Kevin Cash,25,TOR,AL,34,117,106,10,15,3,0,1,8,0,0,4,22,0.142,0.179,0.198,0.377,21,6,1,5,1,0
Vinny Castilla,35,ATL,NL,147,578,542,65,150,28,3,22,76,1,2,26,86,0.27699999999999997,0.31,0.461,0.7709999999999999,250,22,3,1,6,3
Alberto Castillo,33,SFG,NL,11,15,15,2,3,1,0,1,4,0,0,0,5,0.2,0.2,0.467,0.667,7,0,0,0,0,0
Luis Castillo,27,FLA,NL,152,676,595,99,187,19,6,6,39,21,19,63,60,0.314,0.381,0.397,0.778,236,7,2,15,1,0
Juan Castro,31,CIN,NL,113,348,320,28,81,14,1,9,33,2,3,18,58,0.253,0.29,0.38799999999999996,0.6779999999999999,124,7,0,7,3,1
Ramon Castro,27,FLA,NL,40,57,53,6,15,2,0,5,8,0,0,4,11,0.28300000000000003,0.33299999999999996,0.604,0.937,32,0,0,0,0,0
Frank Catalanotto,29,TOR,AL,133,535,489,83,146,34,6,13,59,2,2,35,62,0.299,0.35100000000000003,0.47200000000000003,0.823,231,9,6,2,3,1
Roger Cedeno,28,NYM,NL,148,527,484,70,129,25,4,7,37,14,9,38,86,0.267,0.32,0.37799999999999995,0.698,183,8,1,2,2,3
Matthew Cepicky,25,MON,NL,5,8,8,0,2,1,0,0,0,0,0,0,2,0.25,0.25,0.375,0.625,3,0,0,0,0,0
Jaime Cerda,24,NYM,NL,27,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0
Juan Cerros,26,CIN,NL,11,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0
Shawn Chacon,25,COL,NL,22,48,46,4,9,2,0,1,5,0,0,0,16,0.196,0.196,0.304,0.5,14,0,0,2,0,0
Jim Chamblee,28,CIN,NL,2,2,2,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0
Travis Chapman,25,PHI,NL,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
Endy Chavez,25,MON,NL,141,526,483,66,121,25,5,5,47,18,7,31,59,0.251,0.294,0.354,0.648,171,7,0,9,3,3
Eric Chavez,25,OAK,AL,156,654,588,94,166,39,5,29,101,8,3,62,89,0.282,0.35,0.514,0.8640000000000001,302,14,1,0,3,10
Raul Chavez,30,HOU,NL,19,38,37,5,10,1,1,1,4,0,0,1,6,0.27,0.289,0.43200000000000005,0.722,16,3,0,0,0,0
Bruce Chen,26,HOU,NL,11,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
Chin-Feng Chen,25,LAD,NL,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
Hee-Seop Choi,24,CHC,NL,80,245,202,31,44,17,0,8,28,1,1,37,71,0.218,0.35,0.42100000000000004,0.7709999999999999,85,2,4,2,0,1
Ryan Christenson,29,TEX,AL,60,186,165,22,29,7,0,2,16,2,2,15,44,0.17600000000000002,0.255,0.255,0.51,42,3,3,2,1,0
Jason Christiansen,33,SFG,NL,35,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0
Alex Cintron,24,ARI,NL,117,487,448,70,142,26,6,13,51,2,3,29,33,0.317,0.359,0.489,0.848,219,7,2,5,3,0
Jeff Cirillo,33,SEA,AL,87,293,258,24,53,11,0,2,23,1,1,24,32,0.205,0.284,0.271,0.555,70,6,5,4,2,1
Brady Clark,30,MIL,NL,128,356,315,33,86,21,1,6,40,13,2,21,40,0.273,0.33,0.40299999999999997,0.733,127,12,9,2,7,0
Howie Clark,29,TOR,AL,38,77,70,9,25,3,1,0,7,0,1,3,6,0.35700000000000004,0.4,0.429,0.8290000000000001,30,3,2,2,0,0
Jermaine Clark,26,TEX,AL,14,42,37,2,8,2,0,0,6,2,1,3,4,0.21600000000000003,0.268,0.27,0.539,10,1,0,1,1,0
Tony Clark,31,NYM,NL,125,280,254,29,59,13,0,16,43,0,0,24,73,0.23199999999999998,0.3,0.47200000000000003,0.772,120,8,1,0,1,2
Brandon Claussen,24,NYY,AL,1,4,4,0,1,0,0,0,1,0,0,0,1,0.25,0.25,0.25,0.5,1,0,0,0,0,0
Royce Clayton,33,MIL,NL,146,543,483,49,110,16,1,11,39,5,2,49,92,0.228,0.301,0.33299999999999996,0.634,161,25,3,4,4,10
Roger Clemens,40,NYY,AL,1,2,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,1,0,0
Matt Clement,28,CHC,NL,30,71,62,3,9,2,0,0,3,0,0,0,26,0.145,0.159,0.177,0.336,11,0,1,8,0,0
Greg Colbrunn,33,SEA,AL,22,62,58,7,16,1,1,3,7,0,1,4,16,0.276,0.32299999999999995,0.483,0.805,28,3,0,0,0,0
Lou Collier,29,BOS,AL,4,1,1,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
Jesus Colome,25,TBD,AL,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0
Bartolo Colon,30,CHW,AL,2,7,6,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0,0,1,0,0
Steve Colyer,24,LAD,NL,13,1,0,0,0,0,0,0,0,0,0,1,0,,1.0,,,0,0,0,0,0,0
Clay Condrey,27,SDP,NL,9,10,10,1,2,0,0,0,0,0,0,0,6,0.2,0.2,0.2,0.4,2,0,0,0,0,0
