Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
Dennis Tankersley,24,SDP,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0
Fernando Tatis,28,MON,NL,53,196,175,15,34,6,0,2,15,2,1,18,40,0.19399999999999998,0.281,0.263,0.5429999999999999,46,7,3,0,0,0
Julian Tavarez,30,PIT,NL,63,5,4,0,0,0,0,0,0,0,0,1,2,0.0,0.2,0.0,0.2,0,0,0,0,0,0
Reggie Taylor,26,CIN,NL,100,194,180,17,39,5,2,5,19,7,0,11,68,0.217,0.266,0.35,0.616,63,4,1,2,0,0
Mark Teixeira,23,TEX,AL,146,589,529,66,137,29,5,26,84,1,2,44,120,0.259,0.331,0.48,0.8109999999999999,254,14,14,0,2,5
Miguel Tejada,29,OAK,AL,162,703,636,98,177,42,0,27,106,10,0,53,65,0.278,0.336,0.47200000000000003,0.807,300,12,6,0,8,7
Michael Tejera,26,FLA,NL,48,16,15,0,1,0,0,0,0,0,0,0,1,0.067,0.067,0.067,0.133,1,1,0,1,0,0
Amaury Telemaco,29,PHI,NL,8,15,14,1,4,3,0,0,0,0,0,0,4,0.28600000000000003,0.28600000000000003,0.5,0.7859999999999999,7,0,0,1,0,0
Luis Terrero,23,ARI,NL,5,5,4,0,1,0,0,0,0,0,0,0,1,0.25,0.4,0.25,0.65,1,0,1,0,0,0
Marcus Thames,26,TEX,AL,30,84,73,12,15,2,0,1,4,0,1,8,18,0.205,0.298,0.27399999999999997,0.5720000000000001,20,2,2,0,1,0
Frank Thomas,35,CHW,AL,153,662,546,87,146,35,0,42,105,0,0,100,115,0.267,0.39,0.562,0.9520000000000001,307,11,12,0,4,4
Jim Thome,32,PHI,NL,159,698,578,111,154,30,3,47,131,0,3,111,182,0.266,0.385,0.573,0.958,331,5,4,0,5,11
John Thomson,29,TEX,AL,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
Joe Thurston,23,LAD,NL,12,11,10,2,2,0,0,0,0,0,0,1,1,0.2,0.273,0.2,0.473,2,0,0,0,0,0
Mike Timlin,37,BOS,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0
Brian Tollberg,30,SDP,NL,2,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0
Brett Tomko,30,STL,NL,32,78,63,4,18,1,0,0,9,0,1,4,15,0.28600000000000003,0.32799999999999996,0.302,0.63,19,1,0,11,0,0
Tony Torcato,23,SFG,NL,14,18,16,0,3,1,0,0,1,0,0,0,4,0.188,0.235,0.25,0.485,4,0,1,1,0,0
Yorvit Torrealba,24,SFG,NL,66,221,200,22,52,10,2,4,29,1,0,14,39,0.26,0.312,0.39,0.7020000000000001,78,3,2,3,2,1
Andres Torres,25,DET,AL,59,185,168,23,37,4,3,1,9,5,5,10,35,0.22,0.263,0.298,0.56,50,5,0,6,1,0
Salomon Torres,31,PIT,NL,40,41,32,3,2,0,1,0,1,0,0,2,16,0.063,0.14300000000000002,0.125,0.268,4,1,1,6,0,0
Josh Towers,26,TOR,AL,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
Billy Traber,23,CLE,AL,2,4,4,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0
Steve Trachsel,32,NYM,NL,34,72,58,3,11,2,0,0,4,0,0,2,16,0.19,0.213,0.22399999999999998,0.43700000000000006,13,1,0,11,1,0
Bubba Trammell,31,NYY,AL,22,61,55,4,11,5,0,0,5,0,0,6,10,0.2,0.27899999999999997,0.29100000000000004,0.57,16,1,0,0,0,0
Chris Truby,29,TBD,AL,13,49,43,4,12,3,0,0,3,0,0,5,13,0.27899999999999997,0.354,0.349,0.703,15,1,0,1,0,0
Chin-hui Tsao,22,COL,NL,9,15,13,2,2,1,0,0,0,0,0,0,1,0.154,0.154,0.231,0.385,3,0,0,2,0,0
Michael Tucker,32,KCR,AL,104,438,389,61,102,20,5,13,55,8,10,39,88,0.262,0.331,0.44,0.7709999999999999,171,8,2,6,2,3
T.J. Tucker,24,MON,NL,44,20,19,1,5,1,0,0,0,0,0,0,6,0.263,0.263,0.316,0.579,6,0,0,1,0,0
Jason Tyner,26,TBD,AL,46,102,90,12,25,7,0,0,6,2,1,10,12,0.278,0.35,0.35600000000000004,0.706,32,1,0,2,0,0
Luis Ugueto,24,SEA,AL,12,6,5,4,1,0,0,0,1,2,0,1,0,0.2,0.33299999999999996,0.2,0.5329999999999999,1,0,0,0,0,0
Ugueth Urbina,29,FLA,NL,33,2,0,0,0,0,0,0,0,0,0,1,0,,1.0,,,0,0,0,1,0,0
Juan Uribe,24,COL,NL,87,343,316,45,80,19,3,10,33,7,2,17,60,0.253,0.297,0.42700000000000005,0.7240000000000001,135,3,3,6,1,0
Chase Utley,24,PHI,NL,43,152,134,13,32,10,1,2,21,2,0,11,22,0.239,0.322,0.373,0.696,50,3,6,0,1,0
Carlos Valderrama,25,SFG,NL,7,7,7,0,1,0,0,0,0,1,0,0,3,0.14300000000000002,0.14300000000000002,0.14300000000000002,0.28600000000000003,1,0,0,0,0,0
Ismael Valdez,29,TEX,AL,2,6,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,2,0,0
Eric Valent,26,CIN,NL,18,44,42,3,9,0,0,0,1,0,0,2,9,0.214,0.25,0.214,0.46399999999999997,9,0,0,0,0,0
Javier Valentin,27,TBD,AL,49,142,135,13,30,7,1,3,15,0,0,5,31,0.222,0.254,0.35600000000000004,0.609,48,7,1,0,1,0
Jose Valentin,33,CHW,AL,144,569,503,79,119,26,2,28,74,8,3,54,114,0.237,0.313,0.46299999999999997,0.7759999999999999,233,6,3,7,2,4
Joe Valentine,23,CIN,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0
Jose Valverde,25,ARI,NL,50,1,1,1,1,1,0,0,0,0,0,0,0,1.0,1.0,2.0,3.0,2,0,0,0,0,0
Todd Van Poppel,31,CIN,NL,9,10,9,0,1,0,0,0,0,0,0,0,4,0.111,0.111,0.111,0.222,1,0,0,1,0,0
Cory Vance,24,COL,NL,9,9,7,2,2,1,0,0,0,0,0,0,1,0.28600000000000003,0.28600000000000003,0.429,0.7140000000000001,3,0,0,2,0,0
John Vander Wal,37,MIL,NL,117,374,327,50,84,25,1,14,45,1,2,46,104,0.257,0.35,0.46799999999999997,0.818,153,5,1,0,0,3
Claudio Vargas,25,MON,NL,21,35,30,1,0,0,0,0,0,0,0,1,15,0.0,0.032,0.0,0.032,0,0,0,4,0,0
Jason Varitek,31,BOS,AL,142,521,451,63,123,31,1,25,85,3,2,51,106,0.273,0.35100000000000003,0.512,0.863,231,10,7,5,7,8
Greg Vaughn,37,COL,NL,22,46,37,8,7,3,0,3,5,0,0,8,13,0.18899999999999997,0.326,0.514,0.84,19,0,0,0,1,0
Mo Vaughn,35,NYM,NL,27,96,79,10,15,2,0,3,15,0,0,14,22,0.19,0.32299999999999995,0.32899999999999996,0.652,26,2,2,0,1,2
Javier Vazquez,26,MON,NL,32,79,65,5,10,0,1,0,6,0,0,2,8,0.154,0.179,0.185,0.364,12,0,0,12,0,0
